event,event_date,fighter_1,fighter_2,result,method,round,time
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Sean Brady,Gilbert Burns,win,U-DEC,5,5:00
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Natalia Silva,Jessica Andrade,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Steve Garcia,Kyle Nelson,win,"KO/TKO

      

        Elbows",1,3:59
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Cody Durden,Matt Schnell,win,"SUB

      

        Guillotine Choke",2,0:29
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Yanal Ashmouz,Trevor Peek,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Chris Padilla,Rongzhu,win,KO/TKO,2,4:14
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Isaac Dulgarian,Brendon Marotte,win,"SUB

      

        Arm Triangle",2,4:19
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Andre Lima,Felipe dos Santos,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Gabriel Santos,Yizha,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Jaqueline Amorim,Vanessa Demopoulos,win,"SUB

      

        Armbar",1,3:28
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Andre Petroski,Dylan Budka,win,U-DEC,3,5:00
UFC Fight Night: Burns vs. Brady,"September 14, 2024",Nathan Fletcher,Zygimantas Ramaska,win,"SUB

      

        Arm Triangle",2,1:14
UFC Fight Night: Cannonier vs. Borralho,"September 07, 2024",Caio Borralho,Jared Cannonier,win,U-DEC,5,5:00
UFC Fight Night: Cannonier vs. Borralho,"September 07, 2024",Tabatha Ricci,Angela Hill,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,"September 07, 2024",Ryan Loder,Robert Valentin,win,"KO/TKO

      

        Elbows",2,1:49
UFC Fight Night: Cannonier vs. Borralho,"September 07, 2024",Mairon Santos,Kaan Ofli,win,"KO/TKO

      

        Punch",2,1:30
UFC Fight Night: Cannonier vs. Borralho,"September 07, 2024",Michael Morales,Neil Magny,win,"KO/TKO

      

        Punches",1,4:39
UFC Fight Night: Cannonier vs. Borralho,"September 07, 2024",Gerald Meerschaert,Edmen Shahbazyan,win,"SUB

      

        Arm Triangle",2,4:12
UFC Fight Night: Cannonier vs. Borralho,"September 07, 2024",Francis Marshall,Dennis Buzukja,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,"September 07, 2024",Zachary Reese,Jose Daniel Medina,win,U-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,"September 07, 2024",Viacheslav Borshchev,James Llontop,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,"September 07, 2024",Jacqueline Cavalcanti,Josiane Nunes,win,S-DEC,3,5:00
UFC Fight Night: Cannonier vs. Borralho,"September 07, 2024",Wang Cong,Victoria Leonardo,win,"KO/TKO

      

        Punches",1,1:02
UFC 305: Du Plessis vs. Adesanya,"August 24, 2024",Dricus Du Plessis,Israel Adesanya,win,"SUB

      

        Rear Naked Choke",4,3:38
UFC 305: Du Plessis vs. Adesanya,"August 24, 2024",Kai Kara-France,Steve Erceg,win,"KO/TKO

      

        Punch",1,4:04
UFC 305: Du Plessis vs. Adesanya,"August 24, 2024",Dan Hooker,Mateusz Gamrot,win,S-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,"August 24, 2024",Jairzinho Rozenstruik,Tai Tuivasa,win,S-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,"August 24, 2024",Carlos Prates,Li Jingliang,win,"KO/TKO

      

        Punch",2,4:02
UFC 305: Du Plessis vs. Adesanya,"August 24, 2024",Valter Walker,Junior Tafa,win,"SUB

      

        Heel Hook",1,4:56
UFC 305: Du Plessis vs. Adesanya,"August 24, 2024",Ricardo Ramos,Josh Culibao,win,S-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,"August 24, 2024",Casey O'Neill,Luana Santos,win,U-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,"August 24, 2024",Jack Jenkins,Herbert Burns,win,"KO/TKO

      

        Punches",3,0:48
UFC 305: Du Plessis vs. Adesanya,"August 24, 2024",Tom Nolan,Alex Reyes,win,U-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,"August 24, 2024",Song Kenan,Ricky Glenn,win,U-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,"August 24, 2024",Jesus Aguilar,Stewart Nicoll,win,"SUB

      

        Guillotine Choke",1,2:39
UFC Fight Night: Tybura vs. Spivac 2,"August 17, 2024",Serghei Spivac,Marcin Tybura,win,"SUB

      

        Armbar",1,1:44
UFC Fight Night: Tybura vs. Spivac 2,"August 17, 2024",Chepe Mariscal,Damon Jackson,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,"August 17, 2024",Danny Barlow,Nikolay Veretennikov,win,S-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,"August 17, 2024",Chris Gutierrez,Quang Le,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,"August 17, 2024",Yana Santos,Chelsea Chandler,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,"August 17, 2024",Toshiomi Kazama,Charalampos Grigoriou,win,"SUB

      

        Triangle Choke",2,1:55
UFC Fight Night: Tybura vs. Spivac 2,"August 17, 2024",Karol Rosa,Pannie Kianzad,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,"August 17, 2024",Jhonata Diniz,Karl Williams,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,"August 17, 2024",Youssef Zalal,Jarno Errens,win,"SUB

      

        Rear Naked Choke",1,3:52
UFC Fight Night: Tybura vs. Spivac 2,"August 17, 2024",Stephanie Luciano,Talita Alencar,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Umar Nurmagomedov,Cory Sandhagen,win,U-DEC,5,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,"August 10, 2024",Shara Magomedov,Michal Oleksiejczuk,win,U-DEC,3,5:00
