Fighter,Peak Elo
Benoit Saint Denis,1532.54
Dennis Siver,1532.02
Zabit Magomedsharipov,1527.94
Michel Prazeres,1527.02
Mauricio Rua,1526.52
Joel Alvarez,1526.27
Khalil Rountree Jr.,1526.11
Amanda Lemos,1524.89
Josh Barnett,1524.29
Michael Johnson,1523.98
Jake Ellenberger,1523.6
Marcin Tybura,1522.81
Francisco Trinaldo,1522.47
Rustam Khabilov,1520.91
Johnny Walker,1519.69
Leonardo Santos,1518.0
Diego Sanchez,1516.26
Yancy Medeiros,1515.62
Nasrat Haqparast,1514.78
Frank Mir,1514.65
Muhammad Mokaev,1512.94
Jean Silva,1512.59
Dong Hyun Kim,1511.57
Oleg Taktarov,1511.51
Carlos Prates,1511.0
Volkan Oezdemir,1510.12
Brad Tavares,1509.5
Rinat Fakhretdinov,1509.16
Natalia Silva,1508.49
Drew Dober,1507.81
Bryan Battle,1503.97
Jeremy Stephens,1503.52
Ronda Rousey,1501.17
Dennis Bermudez,1498.14
Paul Felder,1497.39
Nicolas Dalby,1495.85
Myles Jury,1494.41
Alan Belcher,1494.28
Paul Craig,1493.83
Dan Ige,1493.6
Antonio Carlos Junior,1493.21
Fares Ziam,1491.49
Urijah Faber,1490.78
Bryce Mitchell,1490.42
Lorenz Larkin,1489.75
Constantinos Philippou,1489.67
Jimmie Rivera,1489.34
Ilir Latifi,1489.26
Jimi Manuwa,1486.43
Francis Carmont,1484.63
Joanderson Brito,1483.82
Chris Gutierrez,1482.23
Ricco Rodriguez,1478.94
Forrest Griffin,1477.96
Germaine de Randamie,1476.53
Omari Akhmedov,1474.58
Said Nurmagomedov,1474.14
Olivier Aubin-Mercier,1473.9
Jalin Turner,1472.64
Melvin Guillard,1472.52
Sodiq Yusuff,1472.15
Mike Pyle,1470.78
Ryan Spann,1470.52
Shane Carwin,1469.12
Don Frye,1468.96
Ignacio Bahamondes,1468.8
Rogerio Nogueira,1467.89
Tim Boetsch,1467.49
Brian Ebersole,1466.43
Stefan Struve,1466.21
Clay Guida,1465.39
Mike Pierce,1463.42
Matt Hamill,1462.37
Chris Daukaus,1461.83
James Krause,1460.21
Sergio Pettis,1459.33
Kai Kara-France,1459.22
Gleison Tibau,1458.44
Matt Frevola,1457.66
Drakkar Klose,1457.28
Montel Jackson,1456.41
Pedro Rizzo,1456.01
Frank Shamrock,1453.46
Warlley Alves,1448.87
Jens Pulver,1448.76
