event,fighter_1,fighter_2,result,method,round,time
UFC 305: Du Plessis vs. Adesanya,Tom Nolan,Alex Reyes,win,U-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,Song Kenan,Ricky Glenn,win,U-DEC,3,5:00
UFC 305: Du Plessis vs. Adesanya,Jesus Aguilar,Stewart Nicoll,win,"SUB

      

        Guillotine Choke",1,2:39
UFC Fight Night: Tybura vs. Spivac 2,Serghei Spivac,Marcin Tybura,win,"SUB

      

        Armbar",1,1:44
UFC Fight Night: Tybura vs. Spivac 2,Chepe Mariscal,Damon Jackson,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,Danny Barlow,Nikolay Veretennikov,win,S-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,Chris Gutierrez,Quang Le,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,Yana Santos,Chelsea Chandler,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,Toshiomi Kazama,Charalampos Grigoriou,win,"SUB

      

        Triangle Choke",2,1:55
UFC Fight Night: Tybura vs. Spivac 2,Karol Rosa,Pannie Kianzad,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,Jhonata Diniz,Karl Williams,win,U-DEC,3,5:00
UFC Fight Night: Tybura vs. Spivac 2,Youssef Zalal,Jarno Errens,win,"SUB

      

        Rear Naked Choke",1,3:52
UFC Fight Night: Tybura vs. Spivac 2,Stephanie Luciano,Talita Alencar,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Umar Nurmagomedov,Cory Sandhagen,win,U-DEC,5,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Shara Magomedov,Michal Oleksiejczuk,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Deiveson Figueiredo,Marlon Vera,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Michael Chiesa,Tony Ferguson,win,"SUB

      

        Rear Naked Choke",1,3:44
UFC Fight Night: Sandhagen vs. Nurmagomedov,Mackenzie Dern,Loopy Godinez,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Joel Alvarez,Elves Brener,win,"KO/TKO

      

        Knees",3,3:36
UFC Fight Night: Sandhagen vs. Nurmagomedov,Azamat Murzakanov,Alonzo Menifield,win,"KO/TKO

      

        Punches",2,3:18
UFC Fight Night: Sandhagen vs. Nurmagomedov,Kaue Fernandes,Mohammad Yahya,win,"KO/TKO

      

        Punches",1,4:45
UFC Fight Night: Sandhagen vs. Nurmagomedov,Shamil Gaziev,Don'Tale Mayes,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Guram Kutateladze,Jordan Vucenic,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Sam Hughes,Viktoriia Dudakova,win,S-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Jai Herbert,Rolando Bedoya,win,U-DEC,3,5:00
UFC Fight Night: Sandhagen vs. Nurmagomedov,Sedriques Dumas,Denis Tiuliulin,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Belal Muhammad,Leon Edwards,win,U-DEC,5,5:00
UFC 304: Edwards vs. Muhammad 2,Tom Aspinall,Curtis Blaydes,win,"KO/TKO

      

        Punch",1,1:00
UFC 304: Edwards vs. Muhammad 2,Paddy Pimblett,King Green,win,"SUB

      

        Triangle Choke",1,3:22
UFC 304: Edwards vs. Muhammad 2,Gregory Rodrigues,Christian Leroy Duncan,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Arnold Allen,Giga Chikadze,win,U-DEC,3,5:00
UFC 304: Edwards vs. Muhammad 2,Nathaniel Wood,Daniel Pineda,win,U-DEC,3,5:00
