Fighter,Peak Elo
Jake Ellenberger,1491.3
Diego Sanchez,1491.26
Muhammad Mokaev,1488.52
Yan Xiaonan,1486.6
Gunnar Nelson,1483.73
Amanda Lemos,1482.52
Dong Hyun Kim,1482.24
Chris Gutierrez,1481.86
Nicolas Dalby,1480.43
Mark Hunt,1478.54
Bryce Mitchell,1477.53
Cody Stamann,1476.96
Li Jingliang,1476.78
Dan Ige,1473.72
Khalil Rountree Jr.,1473.21
Dennis Bermudez,1472.84
Ben Rothwell,1471.1
Jimmie Rivera,1470.26
Johnny Walker,1467.15
Paul Felder,1466.43
Mauricio Rua,1466.18
Mario Bautista,1465.47
Myles Jury,1465.34
Frank Mir,1465.27
Benoit Saint Denis,1464.47
Volkan Oezdemir,1464.26
Francis Carmont,1464.14
Forrest Griffin,1463.14
Julianna Pena,1462.86
Urijah Faber,1460.58
Roman Dolidze,1459.1
Drew Dober,1458.96
Ronda Rousey,1457.3
Travis Browne,1456.96
Josh Barnett,1456.35
Yancy Medeiros,1453.74
Sergio Pettis,1452.81
Sodiq Yusuff,1450.47
Ken Shamrock,1448.92
Germaine de Randamie,1448.26
Drakkar Klose,1447.57
Jeremy Stephens,1447.21
Constantinos Philippou,1446.71
Omari Akhmedov,1446.6
Brian Ebersole,1443.44
Nasrat Haqparast,1442.92
Jimi Manuwa,1442.88
Mike Pyle,1442.13
Ilir Latifi,1441.95
Antonio Carlos Junior,1441.37
Matt Hamill,1440.44
Said Nurmagomedov,1437.68
Melvin Guillard,1436.9
Alan Belcher,1435.82
Ryan Spann,1434.54
Mike Pierce,1434.52
Joanderson Brito,1433.98
Tim Boetsch,1433.82
Vinc Pichel,1432.96
Jens Pulver,1432.36
Ricco Rodriguez,1431.51
Carlos Ulberg,1429.54
Lorenz Larkin,1429.27
Oleg Taktarov,1428.94
Gleison Tibau,1427.71
James Krause,1427.44
Daniel Kelly,1427.44
Clay Guida,1425.88
Don Frye,1425.55
Elias Theodorou,1424.11
Montel Jackson,1423.73
Sean Sherk,1422.83
Rogerio Nogueira,1422.33
Matheus Nicolau,1422.3
Kai Kara-France,1421.57
Olivier Aubin-Mercier,1421.09
Paul Craig,1420.52
Stefan Struve,1418.66
Fares Ziam,1418.34
Sergio Moraes,1418.33
David Teymur,1417.06
Shane Carwin,1414.61
Alex Morono,1414.36
Pat Miletich,1413.54
Chris Daukaus,1413.24
Tatsuro Taira,1412.74
Jake Shields,1412.36
Warlley Alves,1411.37
Karo Parisyan,1411.3
Mairbek Taisumov,1409.17
Krzysztof Jotko,1409.15
