event,date,fighter_1,fighter_2,weight,result,method,round,time
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",Iwo Baraniewski,Austen Lane,Light Heavyweight,win,"KO/TKO

      

        Punch",1,0:28
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",Christian Leroy Duncan,Roman Dolidze,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",Danny Silva,Kurtis Campbell,Featherweight,win,"KO/TKO

      

        Punches",2,0:31
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",Mason Jones,Axel Sola,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",Nathaniel Wood,Losene Keita,Featherweight,win,S-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",Mario Pinto,Felipe Franco,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",Mantas Kondratavicius,Antonio Trocoli,Middleweight,win,U-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",Brando Pericic,Louie Sutherland,Heavyweight,win,"KO/TKO

      

        Punches",1,1:48
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",Abdul-Kareem Al-Selwady,Shem Rock,Lightweight,win,U-DEC,3,5:00
UFC Fight Night: Evloev vs. Murphy,"March 21, 2026",Shanelle Dyer,Ravena Oliveira,Women's Strawweight,win,"KO/TKO

      

        Punches",2,1:17
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Kevin Vallejos,Josh Emmett,Featherweight,win,"KO/TKO

      

        Punches",1,3:33
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Gillian Robertson,Amanda Lemos,Women's Strawweight,win,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Jose Delgado,Andre Fili,Featherweight,win,S-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Marwan Rahiki,Harry Hardwick,Featherweight,win,KO/TKO,2,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Ion Cutelaba,Oumar Sy,Light Heavyweight,win,"SUB

      

        Guillotine Choke",1,4:24
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Charles Johnson,Bruno Silva,Flyweight,win,S-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Myktybek Orolbai,Chris Curtis,Welterweight,win,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Vitor Petrino,Steven Asplund,Heavyweight,win,U-DEC,3,5:00
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Elijah Smith,SuYoung You,Bantamweight,win,"SUB

      

        Rear Naked Choke",2,1:04
UFC Fight Night: Emmett vs. Vallejos,"March 14, 2026",Manoel Sousa,Bolaji Oki,Lightweight,win,"KO/TKO

      

        Punch",3,4:12
