Fighter,Elo Rating
Martin Kampmann,1076.39
Jordan Johnson,1076.23
Mick Parkin,1075.52
Brandon Royval,1075.04
Urijah Faber,1075.0
Matt Hamill,1074.94
Alex Morono,1074.74
Mark Kerr,1074.55
Tracy Cortez,1073.51
Muslim Salikhov,1072.75
Ryan LaFlare,1072.67
Brad Tavares,1072.56
Marcos Rogerio de Lima,1072.38
Nicolas Dalby,1071.59
Anthony Smith,1071.43
Chan Sung Jung,1071.01
Miranda Maverick,1070.96
Dennis Siver,1070.83
Geoff Neal,1070.74
Thales Leites,1070.3
Gillian Robertson,1070.23
Rousimar Palhares,1070.15
Paul Felder,1069.9
Taylor Lapilus,1069.87
Mike Pierce,1069.79
Quinton Jackson,1069.66
Sergio Pettis,1069.36
Waldo Cortes-Acosta,1069.28
Kai Kara-France,1069.11
Cheick Kongo,1069.05
Miles Johns,1069.01
Jorge Masvidal,1068.84
Adrian Yanez,1068.68
Ronda Rousey,1068.65
Rafael Fiziev,1068.61
Pedro Rizzo,1068.26
Rob Font,1068.25
Johny Hendricks,1067.92
Sage Northcutt,1067.77
Loma Lookboonmee,1067.64
Nate Quarry,1067.55
Jared Rosholt,1067.12
Joanna Jedrzejczyk,1066.97
Santiago Ponzinibbio,1066.05
Jack Shore,1065.68
Martin Buday,1065.64
King Green,1065.4
Carlos Prates,1065.08
Volkan Oezdemir,1064.94
JunYong Park,1064.9
Roger Huerta,1064.6
Thiago Santos,1063.79
Rashad Evans,1063.61
Joanderson Brito,1063.59
Cody Garbrandt,1063.43
Dominick Reyes,1063.38
Mackenzie Dern,1062.56
Matthew Riddle,1062.31
Jiri Prochazka,1062.29
Cub Swanson,1062.21
Al Iaquinta,1062.21
Jens Pulver,1062.17
Ignacio Bahamondes,1062.16
Matheus Nicolau,1061.77
Myles Jury,1061.58
Li Jingliang,1061.52
Aleksandar Rakic,1061.48
Aiemann Zahabi,1061.3
Karo Parisyan,1061.06
Chael Sonnen,1060.9
Jean Silva,1060.66
Mike Davis,1060.63
Ruslan Magomedov,1060.25
Daniel Marcos,1060.19
Mike Swick,1060.17
Shara Magomedov,1059.95
Farid Basharat,1059.8
Alan Belcher,1059.7
Jimmie Rivera,1059.28
Karol Rosa,1059.08
Dan Ige,1059.07
Diego Sanchez,1059.01
Asu Almabayev,1058.56
Raphael Assuncao,1058.54
Donald Cerrone,1058.21
Jacqueline Cavalcanti,1058.03
Irene Aldana,1058.0
Jasmine Jasudavicius,1057.73
Brett Johns,1057.72
Kevin Lee,1057.71
Ricky Simon,1057.44
Mark Bocek,1057.25
Mark Munoz,1057.18
Marina Rodriguez,1056.94
Andre Lima,1056.77
Alex Caceres,1056.71
Payton Talbott,1056.47
Joe Pyfer,1056.37
Tagir Ulanbekov,1056.27
Sodiq Yusuff,1056.26
Amanda Ribas,1056.13
Uriah Hall,1056.12
Leonardo Santos,1056.09
Matt Brown,1055.75
Matt Mitrione,1055.68
Daniel Rodriguez,1055.43
Gerald Meerschaert,1055.08
Ailin Perez,1055.04
Bo Nickal,1055.02
Paulo Costa,1054.6
Jeff Molina,1054.43
Rinya Nakamura,1054.38
Alatengheili,1054.31
Lauren Murphy,1054.15
Raul Rosas Jr.,1054.1
Rodolfo Vieira,1053.94
Justin Willis,1053.91
Vitor Petrino,1053.8
Dan Hardy,1053.57
James Vick,1053.48
Stevie Ray,1053.23
Marcus McGhee,1052.79
Damir Ismagulov,1052.77
Evan Tanner,1052.44
Benoit Saint Denis,1052.34
Michael McDonald,1052.23
Alonzo Menifield,1052.14
Vinc Pichel,1052.12
Nate Maness,1051.99
Alejandro Perez,1051.74
Nik Lentz,1051.68
Ricco Rodriguez,1051.45
Jerry Bohlander,1051.3
Chase Hooper,1051.2
Victor Henry,1051.08
Tony Ferguson,1050.96
Guy Mezger,1050.75
Drew Dober,1050.67
Jussier Formiga,1050.62
Eddie Alvarez,1050.34
Dustin Ortiz,1050.24
Alan Jouban,1049.99
Chris Curtis,1049.67
Calvin Kattar,1049.5
Alexandr Romanov,1049.18
Chris Lytle,1048.61
Joshua Van,1048.49
Jared Gordon,1048.15
Thiago Tavares,1048.08
Chris Wade,1047.92
Jon Madsen,1047.87
Luke Rockhold,1047.86
Renato Sobral,1047.63
Pat Sabatini,1047.38
Sergio Moraes,1047.3
Casey O'Neill,1047.29
Laverne Clark,1047.25
Askar Askarov,1047.21
Sean Pierson,1047.1
