Fighter,Peak Elo
Nik Lentz,1107.36
Pedro Munhoz,1107.31
Mairbek Taisumov,1107.24
Yan Xiaonan,1107.17
Michael Morales,1107.02
Rick Story,1106.97
Cheick Kongo,1106.95
Li Jingliang,1106.74
Marina Rodriguez,1106.18
Marcus Davis,1106.15
Forrest Griffin,1105.38
Julianna Pena,1105.35
Jack Hermansson,1105.08
Jake Matthews,1104.87
John Hathaway,1104.82
Kyoji Horiguchi,1104.58
Anthony Hernandez,1104.43
Roger Huerta,1104.27
Tai Tuivasa,1104.06
Travis Browne,1103.65
Urijah Faber,1103.02
Dennis Siver,1102.69
Jimmie Rivera,1101.68
Drew Dober,1101.59
Aleksandar Rakic,1101.16
James Krause,1101.11
Dan Ige,1100.9
Paulo Costa,1100.56
Andre Muniz,1100.48
Krzysztof Jotko,1100.39
Zak Cummings,1100.02
Sodiq Yusuff,1100.02
Germaine de Randamie,1099.8
Diego Lopes,1099.75
Anthony Rocco Martin,1099.58
Nicolas Dalby,1099.23
Amanda Lemos,1099.22
Matt Mitrione,1099.16
Ryan LaFlare,1099.09
Gunnar Nelson,1098.74
Darren Till,1098.71
Sean Woodson,1098.68
Mike Pyle,1098.65
Vinc Pichel,1098.65
Ken Shamrock,1098.63
Said Nurmagomedov,1098.62
Chan Sung Jung,1098.48
Anthony Pettis,1097.97
Evan Dunham,1097.8
Pedro Rizzo,1097.43
Ricco Rodriguez,1097.36
Brandon Royval,1097.32
Daniel Kelly,1097.24
David Teymur,1097.22
Roman Dolidze,1097.2
Alan Belcher,1096.91
Alex Caceres,1096.58
Nasrat Haqparast,1096.21
Claudio Silva,1095.89
Calvin Kattar,1095.76
Sergio Pettis,1095.71
Cody Stamann,1095.6
Alex Perez,1095.5
Dan Henderson,1095.25
Michael Johnson,1094.99
Antonio Carlos Junior,1094.93
Muslim Salikhov,1094.39
Mirsad Bektic,1094.1
Shane Burgos,1093.96
Takeya Mizugaki,1093.83
Frank Shamrock,1093.79
Uriah Hall,1093.7
Ryan Spann,1093.48
Olivier Aubin-Mercier,1093.39
Ovince Saint Preux,1093.33
John Dodson,1093.02
Matt Lindland,1092.94
Gregory Rodrigues,1092.94
Amir Albazi,1092.89
Jared Rosholt,1092.77
Kyler Phillips,1092.72
Tracy Cortez,1092.36
Rousimar Palhares,1092.07
Sam Alvey,1092.02
Clay Guida,1091.95
Marlon Moraes,1091.84
Virna Jandiroba,1091.81
Adrian Yanez,1091.8
Andre Petroski,1091.37
Nate Quarry,1091.14
Mauricio Rua,1090.8
Raoni Barcelos,1090.74
Carlos Condit,1090.73
Cristiane Justino,1090.63
Tyson Griffin,1090.56
Damir Ismagulov,1090.48
Joe Lauzon,1090.46
